N, total_classification_errors, learning_rate, number of iterations for convergence, R0, margin0, k_max
250, 4, 0.0005, 38134, 0.684, 0.0054819938, 15572
250, 7, 0.0002, 63133, 0.684, 0.0054819938, 15572
250, 0, 0.005, 6794, 0.684, 0.0054819938, 15572
250, 0, 0.01, 3153, 0.684, 0.0054819938, 15572
250, 0, 0.05, 792, 0.684, 0.0054819938, 15572
250, 0, 0.05, 813, 0.684, 0.0054819938, 15572
250, 0, 0.05, 879, 0.684, 0.0054819938, 15572
250, 0, 0.05, 845, 0.684, 0.0054819938, 15572
250, 0, 0.05, 884, 0.684, 0.0054819938, 15572
250, 0, 0.1, 395, 0.684, 0.0054819938, 15572
250, 0, 0.05, 803, 0.684, 0.0054819938, 15572
250, 0, 0.05, 847, 0.684, 0.0054819938, 15572
250, 0, 0.05, 843, 0.684, 0.0054819938, 15572
250, 0, 0.05, 828, 0.684, 0.0054819938, 15572
250, 0, 0.005, 355, 0.689, 0.0006228629, 1223348
350, 0, 0.005, 2657, 0.684, 0.0005612028, 1484250
450, 0, 0.005, 1179, 0.695, 0.0012258859, 321694
450, 0, 0.005, 1558, 0.694, 0.0017372650, 159790
350, 0, 0.005, 1129, 0.710, 0.0020495765, 120049
50, 0, 0.05, 1124, 0.674, 0.0126029197, 2861
